CONFLICT_ID,AREA,LOWER_AUTHORITY_SOURCE,LOWER_CLAIM,HIGHER_AUTHORITY_SOURCE,HIGHER_CLAIM,RECONCILED_RESULT,CLASSIFICATION,IMPACT,REQUIRED_PROOF
C-001,Requester navigation,"USKOCI_MASTER_SCREEN_TRUTH_MATRIX_V1_2026-08-28.md; older HTML","Početna | Potrebe | Objavi | Aktivno | Profil","112_FINAL_PRODUCT_SPECIFICATION.md; 69_REQUESTER_NAVIGATION_MAP.md; owner lock","Početna | Potrebe | + | Dogovori | Profil","Use locked navigation; center + opens the same AI Need flow","SUPERSEDED","Critical orientation and route regression","Route registry plus screenshots and click test"
C-002,Worker navigation,"USKOCI_MASTER_SCREEN_TRUTH_MATRIX_V1_2026-08-28.md; V5 HTML","Početna | Prilike | Dostupnost | Aktivno | Profil","112_FINAL_PRODUCT_SPECIFICATION.md; 70_WORKER_NAVIGATION_MAP.md; owner lock","Početna | Prijave | USKOČI mark→Prilike | Dogovori | Profil","Use locked navigation; availability is secondary","SUPERSEDED","Critical information-architecture regression","Route registry plus screenshots and click test"
C-003,Worker screen universe,"73_FINAL_SCREEN_PRODUCT_BOOK.md; 74_FINAL_SCREEN_CONTRACT_MATRIX.csv","W06 is Kalendar/Dostupnost and no dedicated Prijave screen exists","Later explicit Worker navigation lock; 120_UI_UX_SCREEN_CLOSURE_QUEUE.csv","Prijave is a primary destination; availability is secondary","Rebind W06 to Prijave; retain availability/calendar as secondary component route from W01/W08","CONFLICT_REQUIRES_RECONCILIATION","Historical 30-screen taxonomy cannot satisfy locked nav otherwise","Owner acceptance of audit mapping; route and screen contract proof"
C-004,Requester agreements label,"73/74; V5 HTML","R08 is Aktivno","Latest Product Specification and navigation lock","R08 primary destination is Dogovori","Rename and recompose R08 as Dogovori","SUPERSEDED","Wrong mental model and inconsistent terminology","Screen title/nav/action contract test"
C-005,Worker agreements label,"73/74; V5 HTML","W07 is Aktivno","Latest Product Specification and navigation lock","W07 primary destination is Dogovori","Rename and recompose W07 as Dogovori","SUPERSEDED","Wrong mental model and inconsistent terminology","Screen title/nav/action contract test"
C-006,Dogovor local navigation,"73/74 and older Dogovor designs","Pregled | Poruke | Tok; D04 separate primary chronology","85_DOGOVOR_WORKSPACE_UX.md override; latest owner lock","Only Pregled | Poruke; chronology embedded","D04 remains a controlled section/state projection inside Pregled, not a tab","SUPERSEDED","Creates a third lifecycle surface and navigation drift","Dogovor screenshot and tab/back-flow test"
C-007,Dogovor activation,"Older flow/derived rows","Invitation/reservation/acceptance or a second confirmation round before active Dogovor","105_PRODUCT_DECISION_REGISTER.md; 112_FINAL_PRODUCT_SPECIFICATION.md","Requester selection atomically activates the exact Application and Dogovor","Remove redundant confirmation/invitation step","SUPERSEDED","Can strand entitlement and create incompatible lifecycle states","State transition and idempotency test"
C-008,Execution milestones,"Older state/data rows; V5 donors","Mandatory Krećem/Stigao/ARRIVED milestone buttons","Latest Dogovor UX and owner lock","Progress is communicated through chat; no generic mandatory milestone UI","Do not expose mandatory generic milestones","SUPERSEDED","Invents product behavior and false writes","Action-click inventory and Dogovor flow test"
C-009,Blocking active counterparty,"65_SIDE_TO_SIDE_UPDATE_MATRIX.csv; 76_FINAL_DATA_FLOW_CONTRACT.csv residue","User can block the other party while an Agreement/Dogovor is active","Latest decision register/product specification","Active Dogovor must first finish or cancel; reporting remains available","Disable/route block action while active; retain report","SUPERSEDED","Safety and lifecycle integrity","Permission/state test with active and completed Dogovor"
C-010,Availability persistence,"Older TTL/expiry rows","Dostupan sam expires by TTL","Latest owner/product lock","Availability stays ON until the Worker turns it OFF","Persistent toggle; calendar/controls secondary","SUPERSEDED","Incorrect matching availability and surprise state changes","Server-state and relaunch test"
C-011,Material change handling,"Older confirmation/reset rows","Any accepted change resets confirmations or locks chat","Latest Dogovor UX","An accepted exact change becomes operational without a generic reconfirmation loop","Use explicit change record and server-final state; no blanket reset","SUPERSEDED","Could deadlock an active Dogovor","Change/retry/realtime scenarios"
C-012,Team model,"Older screen/component/data rows","Named team roster, helper identities and rosterHash","Latest product decisions","V0 has accountable lead plus covered headcount; no named helper roster","Show responsible Worker and headcount only","SUPERSEDED","Privacy and false product scope","Field-lineage and visibility tests"
C-013,Map pin content,"82_MAP_UI_SPEC.md; visual boards","Pin may show price, PONUDE, HITNO or other task content","Latest owner decisions D-0118–D-0127 and Product Specification","Individual pin shows only canonical USKOČI mark","No price, identity, title, photo, urgency or match data on individual pins","SUPERSEDED","Public privacy and visual clutter","Pin snapshot and DOM/content assertion"
C-014,Marketplace phone layout,"82_MAP_UI_SPEC.md; current donor source","Draggable bottom sheet overlays map as primary phone composition","Later owner map lock","Map on top and one-column Opportunity cards below; no overlay dependency","Use stacked composition; clusters only for overlap","SUPERSEDED","Poor scan hierarchy and gesture conflict","Phone viewport screenshot and scroll test"
C-015,Map refresh,"70_WORKER_NAVIGATION_MAP.md residue","Map behavior described as pending/ambiguous","Latest owner decisions D-0118–D-0127","Settled viewport triggers auto refresh with loading/stale behavior","Implement one debounced settled-viewport contract in reference","LOCKED","Duplicate queries or stale opportunities","Viewport, stale and retry scenarios"
C-016,Opportunity primary photo,"82_MAP_UI_SPEC.md; older visual boards/HTML","Task photo can appear on the primary Opportunity card","Latest card owner lock","No task photo on the primary Opportunity card","Reserve imagery for detail where canonical and useful","SUPERSEDED","Meaning gets displaced and absent media creates inconsistency","Card screenshot and field-presence assertion"
C-017,Opportunity match explanation,"82_MAP_UI_SPEC.md; older donors","Recommendation reason/match explanation shown on primary card","Latest card owner lock","No match reason or raw score on primary Opportunity card","Show canonical decision facts; explanations belong elsewhere if authorized","SUPERSEDED","AI inference presented as fact and card overload","Card-content assertion"
C-018,Raw match score,"Older marketplace concepts","Expose numeric match score","Latest owner/product lock","Raw score is prohibited","Never display raw score","SUPERSEDED","Misleading ranking and trust risk","Search all visible copy/fixtures"
C-019,Requester trust strip,"Old card designs","Large profile card or invented verification/rating payload on Opportunity card","Latest card principle/privacy authority","Small trust strip with authorized requester identity/reputation only","Use provenance-safe trust strip; unknown facts absent","LOCKED","Fabricated trust and visual overload","Fixture provenance audit and screenshots"
C-020,Exact location privacy,"Old boards, map/detail donors","Exact street/address can appear in public discovery","Product specification; field lineage; privacy locks","Public projection is coarse; exact/private geo remains protected","Use separate public and private fields/views","LOCKED","Severe privacy leak","Role-based content tests and fixture audit"
C-021,Online needs,"Old map-first patterns","Online Need receives a fake map or location treatment","Latest map/location lock","Online work has no fake map","Use explicit online fact/icon and omit map","LOCKED","Confusing and semantically false UI","Online variant screenshot"
C-022,AI authority,"Derived AI copy and generic chat patterns","AI understanding is treated as saved task truth","State/field/data authority and AI owner lock","AI_PROPOSED → HUMAN_CONFIRMED → CANONICAL_SAVED","Visually label proposal/confirmed/change and save only after confirmation","LOCKED","Incorrect writes and user deception","State transition and copy tests"
