schema,function_name,identity_arguments,class,target_security_definer,anon_execute,authenticated_execute,service_role_execute,notes
private,after_need_revision,,INTERNAL_HELPER,true,false,false,false,Trigger-only
private,audit_marketplace,"p_actor uuid, p_event_type text, p_entity_type text, p_entity_id uuid, p_entity_version integer, p_detail jsonb",INTERNAL_HELPER,true,false,false,false,Internal audit writer
private,candidate_profile_ids,"nid uuid, p_limit integer",INTERNAL_HELPER,true,false,false,false,Dispatch helper
private,dispatch_cheap_candidate_admitted,"nid uuid, pid uuid",INTERNAL_HELPER,true,false,false,false,Dispatch helper
private,dispatch_next_wave,nid uuid,INTERNAL_HELPER,true,false,false,false,Dispatch helper
private,dispatch_tick,"p_batch integer, p_at timestamp with time zone",INTERNAL_HELPER,true,false,false,false,Dispatch helper
private,emit_event,"p_recipient uuid, p_role text, p_event_type text, p_entity_type text, p_entity_id uuid, p_entity_version integer, p_title text, p_body text, p_dedupe_key text, p_urgency text, p_payload jsonb, p_expires_at timestamp with time zone",INTERNAL_HELPER,true,false,false,false,Notification event helper
private,enqueue_dispatch,"p_need_id uuid, p_at timestamp with time zone",INTERNAL_HELPER,true,false,false,false,Dispatch helper
private,enqueue_on_need_change,,INTERNAL_HELPER,true,false,false,false,Trigger-only
private,expire_lifecycle,p_at timestamp with time zone,INTERNAL_HELPER,true,false,false,false,Lifecycle helper
private,expire_urgent,at_time timestamp with time zone,INTERNAL_HELPER,true,false,false,false,Urgency helper
private,grant_counterparty_ok,"p_agreement_id uuid, p_granter uuid, p_grantee uuid",INTERNAL_HELPER,true,false,false,false,Grant validation helper
private,grant_is_ownable,"p_agreement_id uuid, p_channel text, p_granter uuid",INTERNAL_HELPER,true,false,false,false,Grant validation helper
private,guard_ai_fact_write,,INTERNAL_HELPER,true,false,false,false,Trigger-only
private,guard_ai_proposal_write,,INTERNAL_HELPER,true,false,false,false,Trigger-only
private,guard_need_write,,INTERNAL_HELPER,true,false,false,false,Trigger-only
private,guard_profile_write,,INTERNAL_HELPER,true,false,false,false,Trigger-only
private,guard_wmp_write,,INTERNAL_HELPER,true,false,false,false,Trigger-only
private,marketplace_tick,"p_batch integer, p_at timestamp with time zone",INTERNAL_HELPER,true,false,false,false,Dispatch helper
private,match_detail,"nid uuid, pid uuid",INTERNAL_HELPER,true,false,false,false,Matching helper
private,schedule_fit,"pid uuid, s timestamp with time zone, e timestamp with time zone, tz text",INTERNAL_HELPER,true,false,false,false,Matching helper
private,sync_need_completion,p_need_id uuid,INTERNAL_HELPER,true,false,false,false,Completion helper
private,urgent_activation_decision,"nid uuid, actor uuid, at_time timestamp with time zone",INTERNAL_HELPER,true,false,false,false,Urgency helper
public,covered_slots,n needs,AUTHENTICATED_PROJECTION,true,false,true,true,Read projection
public,fn_is_party,"p_agreement_id uuid, p_uid uuid",SERVER_HELPER,true,false,false,true,Server-side RLS helper
public,fn_need_covered_slots,p_need_id uuid,SERVER_HELPER,true,false,false,true,Server-side lifecycle helper
public,handle_uskoci_auth_user_created,,SERVER_HELPER,true,false,false,true,Auth trigger-only
public,handle_uskoci_auth_user_updated,,SERVER_HELPER,true,false,false,true,Auth trigger-only
public,rls_auto_enable,,SERVER_HELPER,true,false,false,true,DDL event trigger-only
public,rpc_activate_urgent,"p_need_id uuid, p_expected_revision integer",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_ai_apply_interview_turn_service,"p_account_id uuid, p_conversation_id uuid, p_user_message text, p_assistant_message text, p_safety text, p_proposals jsonb",SERVICE_COMMAND,true,false,false,true,Only AI writer
public,rpc_ai_confirm_fact,p_fact_id uuid,USER_COMMAND,true,false,true,true,Human confirmation
public,rpc_ai_correct_fact,"p_fact_id uuid, p_value text",USER_COMMAND,true,false,true,true,Human correction
public,rpc_ai_open_conversation,p_purpose text,USER_COMMAND,true,false,true,true,Narrow conversation open command
public,rpc_ai_propose_fact,"p_conversation_id uuid, p_fact_key text, p_fact_value jsonb, p_source text, p_scope text, p_confidence numeric, p_evidence text",RETIRED,false,false,false,false,Fail-closed invoker tombstone
public,rpc_ai_publish_need,"p_conversation_id uuid, p_profile_id uuid",USER_COMMAND,true,false,true,true,Existing fail-closed publication placeholder
public,rpc_cancel_agreement,"p_agreement_id uuid, p_reason text",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_cancel_need,"p_need_id uuid, p_need_revision integer, p_reason text",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_complete_worker_profile,p_profile_id uuid,USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_confirm_completion,p_agreement_id uuid,USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_delete_draft_need,"p_need_id uuid, p_need_revision integer, p_reason text",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_get_agreement_workspace,p_agreement_id uuid,USER_COMMAND,true,false,true,true,Narrow authenticated read command
public,rpc_list_my_agreements,,USER_COMMAND,true,false,true,true,Narrow authenticated read command
public,rpc_mark_response_viewed,p_response_id uuid,USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_mark_work_done,p_agreement_id uuid,USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_propose_agreement_change,"p_agreement_id uuid, p_expected_version integer, p_terms jsonb, p_content_hash text, p_client_request_id text",RETIRED,false,false,false,false,Fail-closed invoker tombstone
public,rpc_propose_agreement_change_v2,"p_agreement_id uuid, p_expected_version integer, p_patch jsonb, p_reason text, p_client_request_id text",USER_COMMAND,true,false,true,true,Authoritative Agreement proposal
public,rpc_publish_need,"p_need_id uuid, p_response_deadline timestamp with time zone",RETIRED,false,false,false,false,Fail-closed invoker tombstone
public,rpc_report_problem,"p_agreement_id uuid, p_narrative text",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_respond_agreement_change,"p_proposal_id uuid, p_accept boolean",USER_COMMAND,true,false,true,true,Authoritative Agreement response
public,rpc_reveal_contact,"p_agreement_id uuid, p_channel text",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_select_response,"p_need_id uuid, p_need_revision integer, p_response_id uuid, p_response_version integer, p_content_hash text, p_client_request_id text",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_send_agreement_message,"p_agreement_id uuid, p_body text",USER_COMMAND,true,false,true,true,Narrow authenticated command
public,rpc_set_contact_grant,"p_agreement_id uuid, p_channel text, p_granted boolean",USER_COMMAND,true,false,true,true,Narrow authenticated command
