"id","name","role","purpose","canon_status","current_status","entry_points","displayed_data","actions","primary_cta","secondary_actions","backend_objects","permissions","statuses","loading_state","empty_state","validation_state","error_state","offline_state","success_state","destructive_state","next_navigation","notification_implications","edge_cases","current_route","evidence"
"S01","Splash / brand introduction","SHARED","Prepoznatljiv, kratak ulazak u USKOČI i priprema sesije.","PRODUCT CANON","IMPLEMENTED","cold start | logout","originalni U/handshake/pin znak | USKOČI wordmark","preskoči samo ako je povratni korisnik i sesija spremna","Automatski nastavak","","auth session","public","BOOTING | SESSION_READY | SESSION_MISSING","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","S02 ili S03 | role Home","","spor telefon | reduced motion | session expires tokom animacije","/auth","BrandScene.tsx | 12 motion tracks | PR66 canonical"
"S02","Intent / role explanation","SHARED","Bira trenutnu nameru istog naloga: tražim pomoć ili nudim pomoć.","PRODUCT CANON","PARTIAL","entry welcome | Profil role switch","Meni treba | Ja mogu | jedan nalog za obe uloge","izaberi nameru | prijavi se","Meni treba / Ja mogu","","app_accounts.active_mode | entry intent local state","public or authenticated","REQUESTER | WORKER","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","S03 | R-HOME | W-HOME","","promena naloga tokom zapisa namere | duboki link čuva cilj","/auth","EntryWelcome.tsx | entryIntentClientService.ts"
"S03","Authentication","SHARED","Prijava i registracija bez gubitka namere i povratnog cilja.","PRODUCT CANON","IMPLEMENTED","S02 | protected deep link | expired session","email | lozinka | ime/prezime/grad pri registraciji | dostupne auth metode","login | signup | telefon OTP kada je dostupan","Prijavite se / Napravite nalog","","auth.users | app_accounts | app_profiles","public","LOGIN | SIGNUP | PHONE | OTP | CONFIRM_EMAIL","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","sačuvani return target | role Home","email confirmation ako je uključena","dupli submit | account switch | expired target | masked password on mode switch","/auth","auth.tsx | authClientService.ts | physical Android proof"
"S04","Password recovery / confirmation","SHARED","Bezbedan oporavak naloga i povratak u aplikaciju.","PRODUCT CANON","NOT IMPLEMENTED","S03 forgot password | email deep link","status linka | novi password form","pošalji link | postavi novu lozinku","Pošaljite link","","Supabase Auth recovery","public + recovery token","REQUESTED | LINK_OPENED | EXPIRED | DONE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","","","","/auth (gated notice)","auth.tsx RECOVERY_UNAVAILABLE"
"S05","Permissions primer","SHARED","Traži lokaciju, obaveštenja, kameru i mikrofon tek u kontekstu koristi.","PRODUCT CANON","NOT IMPLEMENTED","map nearby | enable push | add photo | voice input","zašto je dozvola korisna | system status","nastavi | kasnije | otvori Settings","Dozvoli","","device permissions | notification_push_devices","OS permission","UNKNOWN | GRANTED | DENIED | BLOCKED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","originalni kontekst","","permanent denial | partial permission | web unsupported","",""
"S06","Notifications / Inbox","SHARED","Jedinstven spisak događaja sa pouzdanim deep linkom.","PRODUCT CANON","IMPLEMENTED","bell | push tap","title | body | time | unread | role context","open | mark read | mark all read | load more","Otvorite događaj","","user_activity_events | notification_deliveries | rpc_list_inbox | rpc_resolve_inbox_target","recipient only by RLS/RPC","UNREAD | READ | TARGET_AVAILABLE | TARGET_UNAVAILABLE","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","Need | Applications | Opportunity | Dogovor","in-app source; push transport separate","target deleted | role differs | duplicate event | stale cursor","/obavestenja","obavestenja.tsx | inboxClientService.ts | N03/N08"
"S07","Settings hub","SHARED","Podešavanja naloga, obaveštenja, privatnosti, podrške i pravnih podataka.","PRODUCT CANON","MISSING","Profil","sections | current toggles","open settings surface","Nema globalnog CTA","","notification_preferences | app_accounts","owner","NORMAL","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","S08 | S09 | S10 | S11","","","",""
"S08","Notification preferences","SHARED","Kontrola in-app/push kategorija i tihih sati po ulozi.","PRODUCT CANON","BACKEND READY / UI MISSING","S07","channels | event families | quiet hours | HITNO override | role context","toggle | set time | save","Sačuvajte podešavanja","","notification_preferences | rpc_get_notification_preferences | rpc_set_notification_preferences","owner + expected revision","DEFAULT | CUSTOM | CONFLICT","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","S07","","cross-device revision conflict | timezone change | HITNO override","","N08 migration | notificationPreferencesClientService.ts"
"S09","Privacy & data rights","SHARED","Objašnjava privatnost lokacije/kontakta i omogućava izvoz/brisanje zahteva.","PRODUCT CANON","NOT IMPLEMENTED","S07 | legal links","privacy policy | data scopes | download/delete status","request export | request deletion","Preuzmite podatke","","account/data lifecycle not present","owner + recent auth","AVAILABLE | REQUESTED | PROCESSING | READY | FAILED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","S07","","active Dogovor blocks closure | legal retention","",""
"S10","Support / report case","SHARED","Kontakt podrške i bezbednosni slučaj vezan za konkretan Dogovor.","PRODUCT CANON","PARTIAL","S07 | D05","case category | description | linked entity | status","submit evidence | view case","Pošaljite prijavu","","rpc_report_problem | agreement_execution.problem_open","participant","OPEN | IN_REVIEW | RESOLVED","Skeleton bez promene rasporeda.","Objasniti stanje i ponuditi sledeću korisnu radnju.","Greška uz konkretno polje; unos ostaje sačuvan.","Jasna poruka, Retry i bez lažnog uspeha.","Prikaži poslednje bezbedno stanje; komande čekaju eksplicitni retry.","Potvrda i jasan sledeći korak.","Navesti posledicu i tražiti potvrdu samo za nepovratnu radnju.","Dogovor","recovery/account event intended","offline evidence | abuse report without agreement","",""
