DECISION ID,QUESTION,CURRENT STATUS,RECOMMENDATION,OWNER DECISION,AFFECTED SYSTEMS,C10 REQUIRED BEFORE,PRODUCT LOCK
D-0009,Which implementation strategy?,RECOMMENDED,HYBRID is prior recommendation; revalidate,Not yet explicitly locked by this directive,"Architecture, transfer, waves",RELEVANT WAVE CUTOVER,NO
D-0010,Launch pricing strategy and prices?,RECOMMENDED,V1 launch is superseded by D-0075: promotional-free via real engine; later paid values deferred,V1 launch resolved; later paid commercial values deferred to paid enablement,"Monetization, growth, legal",PAID ENABLEMENT,NO
D-0011,Primary navigation?,SUPERSEDED_BY_D-0084_D-0085_D-0088,Validate through user jobs and contracts,Candidate only,"IA, UX, deep links",RELEVANT WAVE CUTOVER,NO
D-0012,Map/payment/AI providers?,OPEN,Keep domain provider-neutral; select adapters later,No provider locked,"Infrastructure, legal, cost",PAID ENABLEMENT,NO
D-0013,Team connection economics?,SUPERSEDED_BY_D-0058_D-0059_D-0076_D-0077,Do not decide until physical model is proven,Open,"Team, entitlement, pricing",RELEVANT WAVE CUTOVER,NO
D-0016,May same-SHA prior findings be accepted wholesale as current truth?,RECOMMENDED,Retain as `EVIDENCE_BASELINE`; never promote live/runtime/legal claims without proper proof,Not explicitly locked; follows owner evidence rule,All evidence and verdicts,RELEVANT WAVE CUTOVER,NO
D-0017,What happens to `LiveCloudProvider`?,RECOMMENDED,`REFACTOR`: preserve proven gateway/command/retry/reread behavior; split query/command facades by vertical,Open for final architecture review,"Client architecture, all operational routes",PAID ENABLEMENT,NO
D-0018,May client-calculated Trust Score remain public?,RECONCILED_PRODUCT_RESOLVED,"Remove/hide. Do not expose until one server owner, formula, included states, and update path exist",Owner North Star requires an owner for every number,"Public profile, reputation, trust, legal",RELEVANT WAVE CUTOVER,NO
D-0019,How should Marketplace pagination be transferred?,RECOMMENDED,`KEEP_BACKEND_NEW_CLIENT`: preserve browse RPC/gateway; add cursor/viewport context,Open for final contract review,"Marketplace, map, performance",RELEVANT WAVE CUTOVER,NO
D-0020,Is Compound Need/NeedPlan discarded because no UI consumes it?,SUPERSEDED_BY_D-0042_D-0043,Preserve domain/backend; add target orchestration/projection consumer without exposing graph,Open for C04/C09 product lock,"Need, Compound, orchestration",RELEVANT WAVE CUTOVER,NO
D-0021,Which Agreement detail owns Dogovor?,RECOMMENDED,Shared `/active/[agreementId]` concept is sole target owner; redirect/merge worker duplicate,Open for navigation lock; one-owner rule applies,"Dogovor, navigation, deep links",RELEVANT WAVE CUTOVER,NO
D-0022,Is `MarketplaceDiscoveryProvider` active canonical architecture?,RECOMMENDED,No active-owner claim; it is unimported and its unwired test references absent paths. Recover useful logic only,Not owner-locked,"Marketplace, tests, legacy retirement",PAID ENABLEMENT,NO
D-0024,What is the current Supabase verdict?,RECOMMENDED,"`SUPABASE_REUSE_WITH_TARGETED_CLEANUP`; preserve canonical engines, fix bounded target contracts, retire duplicates only after proof",Not yet owner-locked,"Database, contracts, migration plan, release",RELEVANT WAVE CUTOVER,NO
D-0025,May LAB be treated as full alpha parity?,RECOMMENDED,No. Keep `LAB_EVIDENCE_PARTIAL`; require object/config/Edge parity per scenario,Evidence rule is owner-approved,"QA, runtime claims, release",RELEVANT WAVE CUTOVER,NO
D-0027,Can the current Worker-side connection-access engine be called the target Povezivanje model?,SUPERSEDED_BY_D-0071_D-0073_D-0076_D-0077_D-0078,Do not relabel it. Preserve for characterization; define Requester/consumption/replacement contract in C07 and reimplement only after approval,Requester-side is a strong Master hypothesis; exact economics still open,"Entitlement, selection, Agreement, cancellation, payment",RELEVANT WAVE CUTOVER,NO
D-0028,Deploy source-only location resolver now?,RECOMMENDED,Do not deploy. Provider-neutral domain first; admit provider/processor/legal boundary before activation,No provider locked,"Geography, map, privacy, legal",RELEVANT WAVE CUTOVER,NO
D-0030,Continue 184 historical migrations or establish a verified baseline?,RECOMMENDED,Recommend baseline+archive only after an authorized isolated zero-unexplained-diff proof against alpha,Open; no baseline creation authorized,"Migrations, environments, recovery",RELEVANT WAVE CUTOVER,NO
D-0031,How should post-auth return continuity transfer?,RECOMMENDED,"`AuthReturnTargetStore` V2 with wrapper; reimplement typed resolver for Requester default, Marketplace Need, Worker targets and expiry",Guest continuity is owner-approved; exact TTL/copy remains open,"Auth, navigation, guest Need, Marketplace",RELEVANT WAVE CUTOVER,NO
D-0032,What are the canonical profile boundaries?,RECONCILED_BY_D-0137,"One account; separate Account, Requester Profile, Worker Profile, and typed Public Profile contracts",One-account dual-role principle is OWNER_APPROVED,"Auth, profile, privacy, candidate, reputation",RELEVANT WAVE CUTOVER,NO
D-0033,How should broken Worker AI persistence be handled?,RECOMMENDED,One stable resumable conversation/session per subject flow; preserve fact/RPC/question logic behind new application owner,Open for architecture approval; no implementation now,"Worker AI, profile, matcher, resume",RELEVANT WAVE CUTOVER,NO
