stage,decision_id,question,c12_status_csv,c12_status_md,machine_register_consistency,c12_owner_decision,final_21_treatment,final_owner,affected_surfaces,surviving_invariant,superseded_or_remapped,proof_obligation
C12_1,D-0110,Does changing an unregistered helper require a separate team-member change flow?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED,SALVAGE,RU-6A/RU-6B,R05/R06/D01,Keep lead+covered-headcount non-material helper identity rule where team semantics survive.,Remap Requester/Worker role jargon to current modes; no extra helper roster UI.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_2,D-0066,What happens when a user blocks another during an active Agreement?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25: active Dogovor must first end; future matching/contact blocked only after terminal; history/evidence retained,SALVAGE,PP1/S07 safety,profile/Dogovor,Block must not erase history/evidence; active Dogovor safety/problem/cancel path remains authoritative.,UI routing must align with final 28 surfaces/modes.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_3,D-0065,How should cancellation severity and enforcement be decided?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25; exact numeric windows/counts/durations and appeal/SLA remain later policy parameters,DEFER_POLICY,RU-7/PP1 safety,Dogovor/S07,Progressive evidence-aware enforcement principle survives; report is not verdict.,Exact thresholds/windows/appeals remain policy parameters.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_4,D-0069,What is the target review entry and reputation projection?,NEEDS_OWNER_DECISION,OWNER_LOCKED,MD_CSV_DIVERGENCE,Open for product lock,REMAP,PP1,public profile/reviews,Public star average/count from eligible completed work; reliability signals not silently folded into stars.,Final V1 review input is only 1–5 + optional short comment; tags are superseded; Completed Agreement eligibility governs.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_5,D-0042,Should NeedPlan have an independently writable status?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.5; any future atomic plan-level state requires a new explicit owner decision,SALVAGE,RU-2/RU-3,R02/R04,Do not create contradictory independently writable umbrella lifecycle status if child canonical tasks own execution truth.,Need/Potreba terminology remapped to Zadatak.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_5,D-0043,Is Compound NeedPlan mandatory V0 core?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.5; preserve umbrella backend/domain only for organization/projection and keep human-confirmed split,SALVAGE,RU-2/RU-3,R02/R04,Single accountable route can stay one task; genuinely independent work splits into canonical tasks with human confirmation.,NeedPlan UI is not restored as V1 surface.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_6,D-0053,Should task route distance constrain radius/eligibility or only rank/context?,NEEDS_OWNER_DECISION,OWNER_LOCKED,MD_CSV_DIVERGENCE,Open,REMAP,PP3,W03/W09,Keep Worker-origin→first physical stop geography separate from task route burden; remote has no radius.,Final location/privacy and W03 contracts govern; old role vocabulary superseded.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_7,D-0063,What recovery follows qualifying Worker failure?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED CORE + WINDOW 2026-08-25 C12.7; server owns deadline,SUPERSEDE,RU-6A/RU-6B,R04/Dogovor,Salvage only same-task missing-capacity recovery and any idempotent cost-zero provenance needed by final Selection.,Separate ReplacementEntitlement/window/countdown/marketplace is not final V1; candidate uses normal Prijava→Selection on same Zadatak.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_7,D-0078,How does replacement interact with the global ledger?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED CORE + WINDOW 2026-08-25 C12.7,REMAP,RU-6A,selection ledger,Salvage cost-zero/idempotent ledger semantics where compatible.,Do not recreate replacement reservation lifecycle or global credit UX; launch is FREE/0 RSD.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_7,D-0080,What happens when bounded replacement is not filled?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED CORE + WINDOW 2026-08-25 C12.7; no automatic global credit/refund,SUPERSEDE,RU-6B,R04/Dogovor,No global balance/refund side effect from capacity recovery.,Special replacement expiry UX is superseded; same-Zadatak missing-capacity recovery owns behavior.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_8,D-0111,How does live Dostupan sam interact with weekly availability?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.8; future scheduled proactive notification behavior while OFF remains separate,SALVAGE,PP3,W09/W08/W03,Live readiness and scheduled availability are distinct truths.,Remap Worker vocabulary to JA MOGU; W09 is secondary/availability surface under current 28-surface truth.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_9,D-0112,What proactive opportunity notifications remain when Dostupan sam = OFF?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.9,SALVAGE,PP2+PP3,S06/W09/W03,OFF suppresses ready-now proactive dispatch but need not hide manual discovery; future schedule can still qualify.,Notification delivery remains preference/eligibility gated.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_10,D-0113,May HITNO opportunity push bypass Worker quiet hours automatically?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.10,SALVAGE,PP2,S06/W09,Quiet hours are not bypassed by HITNO without explicit opt-in.,Exact urgent-push preference UI remains implementation detail.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_11,D-0114,Must a quiet-hours-delayed opportunity push be revalidated before later delivery?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.11; in-app event/history remains separate from transport delivery,KEEP,PP2,S06/deeplinks,Delayed push must reread current entity/eligibility before delivery.,None; fits stale-action revalidation canon.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_12,D-0109,How long does an Application remain fresh/active and what happens when the Potreba changes materially?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.12; active Dogovor changes use separate material-change consent rule,SALVAGE,RU-5/RU-6A,W06/R04,Material task revision must not silently carry forward stale unselected application consent; require explicit re-review/rebase/edit/withdraw.,Vocabulary Prijava/Zadatak and final Selection authority apply.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_13,D-0075,What launch/pricing sequence best protects liquidity?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.13; exact later paid prices/date intentionally deferred,KEEP,P0D,global,Launch engine is FREE/promotional-free with cost=0 and checkout disabled.,Later paid commercial values deferred until separate authority.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
C12_13,D-0115,Must public V1 be structurally update-ready for later app/data releases?,OWNER_LOCKED,OWNER_LOCKED,CONSISTENT,LOCKED 2026-08-25 C12.13; updateability is mandatory V1 release quality,KEEP,RELEASE,global,V1 must be update/migration/rollback compatible.,None.,Prove against current 21/21 canon before implementation; no C12 row may override later owner locks.
